昵称,产品ID,产品名,产品售价,产品分类,评价,评价类型
凛***至,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,原先的电动牙刷用了几年了，这次赶上双十一活动，相中了这款机皇，有三档功能可选，还带有履行杀菌盒子，很方便。还送了三个刷头哦，真的很满意，手感也不错呢。,好评
考***夜,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,第二个了，飞利浦电动牙刷非常好用，这款三档可选，性价比很高，刷的干净也不伤牙龈。充电要一晚上加一白天吧大概，续航可以有一个月，看每个人使用习惯不同。推荐！！！,好评
u***q,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,已经用了一个星期了，孩子4岁半，用的挺好的，第一次用电动牙刷也是对比了几家，最后选择这个。颜值实在是太可爱了，小朋友喜欢的不得了。用的弱一点的刷的还是挺好的，刷的也听干净，每次自动2分钟断电，孩子还能多刷一会。,好评
若***e,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,食食食外形外观：简单大方操作方式：操作简单清洁效果：深度清洁，效果很好使用续抗：续航能力强一直都想买个飞利浦电动牙刷，家里人都用上了，我是最后一个用上的，活动价还是非常优惠的。性价比高。,好评
遇***子,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,整体感觉很漂亮，小朋友很喜欢，以前都看大人用电动牙刷，现在终于自己也拥有电动牙刷了，刷牙更开心了,好评
****s,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,非常不错，声音不大，刷牙确实很干净，价格也不算特别高，和舍友的米家比声音小一点，也没那么震手，不错不错,好评
****z,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外观很可爱，小朋友很喜欢，一家人都用飞利浦的电动牙刷，很喜欢，质量好，刷的干净,好评
****j,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外观简洁大方，是我喜欢的白色，不错不错很好。做工很精细，送人也很适合，包装完好。操作方式：有三个模式，美白洁净模式的转速比较大，可以从清洁模式开始使用。刷完牙很满意。清洁效果：很干净，超级满意。感觉口腔很清新净洁。使用续航：暂时还不知道，昨晚充电了，到时候看看续航。,好评
****z,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,京东家的快递是最给力的。我的这个宝贝已用过了，脉冲点动，牙缝能冲干净，水箱能抽下来清洗，还是很方便。手柄握起来也很顺手。,好评
****f,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,很高级的，很好用的电动牙刷，口腔健康很重要，也很有必要用电子牙刷，大品牌的用着很放心，刷着很干净，不会很刺激，使用感不错的。,好评
右***刀,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,可以的，第一次用的时候觉得振动的快了，后面适应了就好了，三个模式，使用比较方便。颜色也好看，充一次电可以使用很长时间，一直用到现在，也没什么声音，整体效果也很好。,好评
梦***飞,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：计的非常人体化，大气上档次。 操作方式：操作简单，得体，手感很棒，大品牌值得信赖。清洁效果：效果非常的好，很舒服，而且还非常干净。使用续航：个人感觉半个月不用担心的。,好评
x***2,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,挺好的，电量超级耐用，天天用，买回来后还没充过电，之前买了一个给姐姐，可以两个月不充电，小朋友也很喜欢，坚持每天早晚刷牙,好评
乌***我,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：简约时尚，白色为主显得干净操作方式：按键舒适很方便，功能切换顺利，三种模式清洁效果：清洁力度很好，后牙内侧之类都能轻松刷到使用续航：三周时间，单次充电24小时才能充满,好评
赵***货,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：直立牙刷，白色好看，设计简约。操作方式：电动牙刷，非常方便。清洁效果：与普通牙刷相比，飞利浦这款牙刷能深入清洁牙齿，消除牙菌斑和牙渍，使牙齿恢复洁白靓丽。使用续航：充一次电能用很久，续航能力很强，比其他牙刷好太多，第一次用印象不错！,好评
h***0,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,给孩子买的电动牙刷，收到货感觉很好！动力强，又不伤害牙龈，还能刷的更干净！物流很棒！孩子也说刷的很干净，比自己刷的干净，每天自己要求刷牙了！,好评
晓***闻,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：经典造型。简洁大方。手握舒适。操作方式：一目了然。完全不用说明书。清洁效果：三种模式。适合不同人群。刷头清洁效果非常好。使用续航：因该不错吧。使用之后再追评吧。,好评
小***7,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,这个噪音比之前用的那款小了太多，颜色也特别正的蓝，儿子超级喜欢，刷牙也变得主动了很多，哈哈哈哈，准备给老二也换个同款去了,好评
木***家,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,宝宝很喜欢这款，操作简单，清洁效果也不错，自买了它，小孩也爱上了刷牙，省了不少事情呢。。,好评
f***5,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,清洁效果很好，先前199买了小米的，刷的很干净，这次买了飞利浦这款机皇款给孩子用，颜色只有白色的很干净。孩子说，用起来很舒服，之前很关心续航能力，经常会冲一次电，感觉续航还不错。,好评
s***o,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,包装很好，颜值不错，质量也没有问题，孩子非常喜欢，充电也很快，赠送2个刷头，完美。,好评
****l,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,包装好，送货快，感谢京东快递小哥的专业服务；飞利浦的电动牙刷，一直有在用，大人小孩都喜欢；产品质量很高，外观也好看，做工较精细，有多种的清洁模式可选择，科技感强，USB接口的充电方式很是方便…,好评
****1,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,电动牙刷机身白色，手柄设计简约大气，防滑不易滑落，三种模式，操作简单，清洁，敏感，炫亮。可以满足不同人群的使用需求，刷的非常洁净，使用舒适，值得推荐。,好评
喵***0,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,颜色外形 手感都很不错 有清洁 敏感 美白三种功能 清洁效果很好,好评
泓***明,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,东西很好，第二次给朋友购买了。这次双十一优惠力度很大，感觉很合适。周围很多朋友都在用这款牙刷，感觉很不错。外形外观：美观大方操作方式：简单易懂清洁效果：很好使用续航：续航时间长,好评
西***囧,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,效果非常好，清洁的非常干净，还有两分钟的定时功能很不错，我一般刷牙都会刷很久，这款电动牙刷很合适，电动牙刷的清洁效果真的特别好，就是不知道能用多久，有点担心它会坏，不过毕竟牌子是飞利浦的，质量还是可靠的，希望这种担心是多余的吧，期待用电动牙刷有不一样的效果吧，会推荐给身边的人购买的！,好评
6***j,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外观很好，没有瑕疵操作方式：三种模式很灵活，刷的很干净清洁效果：很不错啊，相比于机械式的声音小了很多使用续航：续航很不错，目前都是两周左右才充电，还没有用完,好评
****3,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,配色精美，时尚的设计风格！清洁效果无需多说，自己长期使用飞利浦的电动牙刷！这次给孩子选购，飞利浦仍然是不二的选择！这款除了颜值高，还非常轻便！赠品鼠标垫和笔记本也很漂亮！,好评
****_,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,牙刷整体还不错，小孩子的，就2个档位，振动力度也比大人的小一点。娃很喜欢，每天早晚都要自己刷牙。有了这个牙刷，每次刷牙也能刷够时间了。,好评
8***0,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,孩子挺喜欢的，包装盒高大上，牙刷外形好看，用着也很舒适，两种模式孩子都喜欢用。电动牙刷比自己拿牙刷要刷的干净些。,好评
l***5,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,飞利浦的这个儿童牙刷非常的可爱，非常的漂亮，而且手感也非常的不错，很柔软，是硅胶材质的，这个比原来买的飞利浦牙刷用起来要舒服很多，大小合适，而且是新款的，用起来也很舒服，孩子也很喜欢用。,好评
小***7,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,清洁效果：不错(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！外形外观：不错操作方式：简单非常好，宝贝很高大上，质量很好，看上去就给人一种高级感，价格也合适，这次网购很愉快，大赞?,好评
无***布,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：双11买的飞利浦机皇6730很漂亮看了很久操作方式：和原来的小米电动牙刷一样简单操作清洁效果：力道很大，感觉还不错使用续航：据说可以用3周，拭目以待,好评
夜***雪,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外观简洁大方，颜色朴素操作方式：机身就一个按键切换模式清洁效果：效果比普通牙刷肯定要好，振动频率是手刷无法达到的使用续航：买了到现在还没有充过电，非常耐用。,好评
****f,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,牙刷很好，刷的很干净，静音不振手，操作简单方便易上手，买过来还没冲过电，电池还是很耐用的，非常不错，618买还便宜实惠。非常推荐购买,好评
J***纍,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：简单而又方便，线条流畅，设计的很简约操作方式：三种模式，没有花里胡哨的功能，很实用清洁效果：用起来没有那么舒服，刷牙还是很干净的使用续航：充一次电可以用很久,好评
S***3,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,京东自营商品，单从限量上来看，应该还是很不错的一款电动牙刷，飞利浦品牌也是不错的牌子。第一次使用电动牙刷，对比了很多款，价位从一百多到五百多不等，最后还是选择了限量第一的飞利浦。使用了一次，才来评价的，感觉还不错，三种模式很人性化。,好评
****f,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,电动牙刷外型带点弯曲，很适合拿在手里操作，清洁效果也不错操作方法简单,好评
我***泪,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,很不错的牙刷，孩子喜欢刷牙了，定时很实用，孩子不能糊弄了。自己也很自觉，每天刷牙，牙刷也好用。,好评
****n,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：经典操作方式：便捷清洁效果：很有效果使用续航：可以,好评
童***6,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,包装完好，送货很快。第一次购买这个品牌，之前买的欧乐B，刚过一年就换了，而且两个都是。这次买的飞利浦，声音很小，孩子喜欢。,好评
****痕,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,清洁模式有2档，充电口做了防水设计，很棒。就是按钮部分若可以改成硅胶材质那种，感觉防水效果会更好，给人更好的安全感,好评
z***6,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,家里的电吹风，剃须刀一直首选飞利浦，这次的电动牙刷依然选择飞利浦，相信品牌的质量！果然没令人失望，款式炫酷，颜色漂亮，做工精良，很经典的电动牙刷，手感很舒服，三种使用模式，用起来动感力度适中，刷牙很舒服，也很干净！随机送了刷头和收纳盒，物超所值，值得拥有！,好评
c***8,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,到货很快 第一天下单第二天就到了 震动的声音很小 小朋友很喜欢 刷的很干净 有两个档 还赠送了便携收纳盒和两个替换刷头 飞利浦值得信赖,好评
x***a,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外形流畅，手握触感细腻舒适操作方式：操作简单，三种模式可调清洁效果：低噪音高频振动，刷头精致小巧，清洁很彻底使用续航：电池续航能力超长强劲另外，京东快递一如往常地神速！,好评
****4,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,买了一套，还送了一个外出装的盒子，比较实用，出门带着也是比较方便的人呢，快递很给力，盒子包的很好，用了一段时间了还是不错的,好评
密***啊,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,做了好久的功课 终于对飞利浦的6730下手了  入手的第一支电动牙刷  操作起来也非常的简单好上手 清洁力感觉也很不错 还赠送一个刷头 爱了爱了,好评
乐***8,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,孩子很自豪很喜欢?！特别好外形外观：好看可爱孩子喜欢操作方式：小孩都可以操作清洁效果：以前孩子不愿意刷牙，现在很喜欢刷了使用续航：买回来还没充电，电池很耐用，,好评
m***c,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,帮家人买的，这个新款机身没有硅胶，不像老款容易发霉，飞利浦的机子不错，充一次电能用很久。外观可爱，小朋友很喜欢，操作方便。,好评
-***-,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,不错，很满意。清洗效果：清洗效果很好，电机劲大，震的牙齿都是麻的。续航：无线充电，充电很方便。充一次用个10天没问题。做工：整体还行，按键有点硬。,好评
招***呀,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,"飞利浦的牙刷用起非常方便,舒适,操作比较方便简单,清洁效果也非常好,使用很舒心的牙刷  已经第二次回购了",好评
蛙***w,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,送到的当天就开始使用了，首先重量很轻，孩子比较容易掌握，其次刷的很干净，孩子只要认真刷都能好好清洁,好评
蝈***飞,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,一直想买个电动牙刷，感觉老公用电动牙刷后牙齿都变白变干净很多，所以我也想试试～这款很适合女士使用，粉嫩嫩的颜色很漂亮，而且这款牙刷的声音也很小，非常喜欢,好评
温***荃,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,孩子用了一段时间了，非常满意，质量非常好，可以把牙齿洗白了，洗干净，质量挺好的，充一次电可以用10天左右，动力很强，很不错的牙刷,好评
夏***_,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,急了，我彻底急了。当我看到其他人的好评，我感同身受，就好像那些事情真的发生了一样，此时此刻我真的破防了，我怎么可以不给好评！！又好用又好看！清洁效果：满分外形外观：相当好看操作方式：很简单使用续航：目前没充过电,好评
满***胡,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,冲牙神器，小巧便携，现在基本是出差必带。充一次电可以管很久，三种喷嘴很实用，颜色也好看，这种淡淡的蓝色很耐看。提升生活品质的小物，推荐大家购买。,好评
y***2,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,操作方式：操作简单方便，三种模式根据个人习惯随意切换，自己用了一段时间后小惊喜牙齿真的有变白哦～清洁效果：清洁效果超级好，轻松清理牙菌斑、牙结石和牙齿里的食物残渣都可以刷掉，经常爱发炎的智齿也很少发炎肿痛啦。外形外观：外观简洁大方，很有高级感，送人特别有面子！,好评
****6,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,买了很多次，性价比非常好，简单易用，能够解决问题，十分耐用快递非常快，十分满意，质量非常好，售后十分贴心，真的是先不到第二家了使用起来很方便，非常支持京东。下次会继续关顾。,好评
l***2,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外观是非常不错的啦，飞利浦在电动牙刷这个行业应该是当之无愧的no.1了操作方式：也很简单方便，有手就行清洁效果：超声波洁牙对比手动刷牙来说简直就是降维打击呀，提升十倍不止使用续航：续航具体没有测量，反正够用很多次，没电了及时补电就行，很方便好用，不错不错！,好评
q***v,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,挺好用的牙刷，很可爱孩子也喜欢用，电动的孩子用也不怕牙齿刷不到位刷不干净了，振动频率也还好孩子很容易适应，电池续航也给力，充一次电可以用好久,好评
****f,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,很好用的电动牙***色很温柔很少女，颜值太高了，性价比也很高，刷牙刷的特别干净，使用起来效果不错，有需要下次还会再来买的。,好评
白***酒,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,?模式：3档，清洁——敏感——净白，敏感最轻柔，净白强度最大。感觉清洁力很够(很多博主的测评里飞利浦的清洁力都挺好），刷着牙齿没有痛过?缺点：刷头和底座的接口设计得真的有缺陷(如图2图3)，每次刷完牙水都会渗进接口里。很多人还反馈说牙刷竖着放久了底部会发霉。我是每次用完都会把刷头取下来，然后用卫生纸把接口处和底座四周的水都擦干净，这样就算竖着放牙刷，也一直不会发霉。目前使用感挺好的，之后继续观察和其他一些电动牙刷比较，飞利浦这款属于在续航/清洁力/震感，各方面都表现挺好的：,好评
J***W,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：宝贝颜值棒棒的，这是第二次购买，上一个买的粉色也很漂亮，用了四年坏掉了，经客服介绍又选了这款，没有失望，一如既往棒棒的……操作方式：操作简单，这款有美白功效，具体使用方法可以仔细阅读说明书……清洁效果：效果棒棒滴，自动两分钟很方便使用续航：说明书充电要充24小时，我每次用没电后都是晚上充早上就用了，基本没冲过24小时，爱惜点用也许能用的年头更长吧?充一次用了将近一个月,好评
鱼***1,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,"外观简洁大气，线条流畅，看上去很高大上。操作简单便捷，有三个使用模式，清洁模式，敏感模式和净白模式，振动频率高,噪音小，在嘴里基本感觉不到大幅度振动。续航能力超强，充一-次电能用好久",好评
旋***螺,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：外观精美，精致，简约而不简单，大气，舒服操作方式：操作简单，容易，模式多种，用对不同需求?，非常棒，非常人性化清洁效果：效果卓越，非常好，牙缝清洁，还有美白效果，使用续航：续航长，,好评
****c,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,外形外观：初次拿到手上，感觉眼前一亮，这个白色的配色真的很大气，很有档次，牙刷头的位置也有不同颜色的环区分不同的人操作方式：只有一个按钮，切换各种模式，操作十分简便，只需要按这个按钮就可以操作使用续航：充一次电可以用很久，上次充满电后一直在用,好评
張***r,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,选了一段时间，这款是大家公认的性价比最高的，所以直接买了两支，送了两个刷头，充过电使用过了，动力很足，外形很棒，全机身水洗特别方便，也不需要很频繁的充电，感觉牙齿确实刷得很干净，两种模式都不错，挺喜欢的，好评。,好评
****o,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,收到牙刷了，外观大气漂亮。刷头软硬适中，声音非常小，儿子一下就喜欢上了。值得购买！,好评
****国,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,牙刷小巧轻便，颜色漂亮，儿子很喜欢。一直用飞利浦的电动牙刷，质量值得信赖。希望牙刷头卖便宜点儿，薄利多销，让利客户。,好评
****微,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,东西不错，第一次用，刷了之后很干净，以前刷不到的地方，也没有问题，震动很快，所以可能一天两次，真的就需要换头了。,好评
郭***u,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,买了两个 刷头自带一个注册送一个简约大方 期待效果简直都完美演绎的淋漓尽致 喜欢电动牙刷清洁度好 朋友们冲冲冲 充电的 续航很久 操作很方便特别好 握起来刚刚好 清新的颜色 完美的机器……………………,好评
k***n,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,送货很快，家有两个宝贝，分别下了不同颜色的两单。牙刷很轻盈，振动声音很小，目前用起来还不错。,好评
z***8,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,很好，物流很快，东西很给力，性价比很高！比自己刷的干净?，三种模式，第一次用电动牙刷，学习中，声音有点大,好评
m***r,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,上一支飞利浦用坏后 换购了其他品牌 使用感受确实有差距 这次趁着双十一活动还是买了飞利浦 刷头很温和 使用感受也好 相信品牌,好评
成***跑,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,牙刷外观很好看，小孩很喜欢，刷起来也很好用。,好评
s***s,530150,飞利浦（PHILIPS）电动牙刷成人/学生情人节礼物 同款可充电式 3种洁齿模式 6倍清除牙菌斑 白色HX6730【镇店款】,299,电动牙刷,飞利浦的产品一直是我比较信赖的产品，非常好用，声音不大，也不会很刺激，温温柔柔。非常的好用。使用一段时间以后，牙齿确实有变白的情况。,好评
